project,run_id,mode,final_status,final_stop_reason,compile_ok,test_ok,unsafe_before,unsafe_after,raw_ptr_before,raw_ptr_after,unsafe_api_before,unsafe_api_after,manual_mem_before,manual_mem_after,iteration_count,patch_rounds,rollback_count,total_ms,retrieve_ms,generate_ms,build_ms,test_ms,primary_error_kind,progress_score_history
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-01_baseline_1777562776401,2bbb85a5-0b67-4baf-8a66-6eed1da58543,baseline,OK,success,True,True,1,1,0,0,0,0,0,0,0,0,0,1766,0,0,323,1134,,[3.0]
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-01_template_1777562778472,d8585247-22e6-4dbc-81aa-de93ea801dd7,enhanced,OK,success,True,True,1,0,0,0,0,0,0,0,1,1,0,1838,90,79,302,1055,,[0.0]
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-01_llm_1777562780650,225ccfbe-fa93-4305-a708-1b114362238f,enhanced,OK,success,True,True,1,0,0,0,0,0,0,0,1,1,0,8222,71,5076,319,975,,[0.0]
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-02_baseline_1777562789242,f3a1ddb3-b310-4ea7-9eaf-7523f8f794cb,baseline,OK,success,True,True,1,1,0,0,0,0,0,0,0,0,0,632,0,0,131,314,,[3.0]
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-02_template_1777562790213,63c6607b-b62b-4e53-9324-4d364fa14361,enhanced,OK,success,True,True,1,0,0,0,0,0,0,0,1,1,0,1910,71,59,356,1104,,[0.0]
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-02_llm_1777562792426,61f143dc-1b4b-4607-b3ba-9faf385a359e,enhanced,OK,success,True,True,1,0,0,0,0,0,0,0,1,1,0,6331,71,4689,274,993,,[0.0]
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-03_baseline_1777562799060,a61a7789-d0f6-4639-8a05-be51a98668ec,baseline,OK,success,True,True,1,1,0,0,0,0,0,0,0,0,0,624,0,0,140,302,,[3.0]
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-03_template_1777562799958,c6468447-b698-41b9-8cc5-8ddc78768755,enhanced,FAILED,max_iters,False,False,1,1,0,0,0,0,0,0,2,2,0,294,131,142,0,0,unknown,"[3.0, 3.0]"
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-03_llm_1777562800521,14e973ed-644a-4b4e-8f14-cdcd0ff95e33,enhanced,OK,success,True,True,1,0,0,0,0,0,0,0,2,2,1,14223,131,10981,357,959,,"[3.0, 0.0]"
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-01_baseline_1777562815054,a743fd53-b207-44a3-8859-789d691c3902,baseline,OK,success,True,True,2,2,0,0,0,0,0,0,0,0,0,693,0,0,144,317,,[6.0]
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-01_template_1777562816072,1674b1b0-70be-40e9-8eb7-81bc876be992,enhanced,FAILED,max_iters,False,False,2,2,0,0,0,0,0,0,2,2,0,320,141,144,0,0,unknown,"[6.0, 6.0]"
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-01_llm_1777562816757,cbd06a3a-2db0-4427-927d-71cacb684b11,enhanced,OK,success,True,True,2,1,0,0,0,0,0,0,1,1,0,7386,76,3821,393,1110,,[3.0]
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-03_baseline_1777562824426,c0956794-a838-4420-b3f6-e4be958a54c2,baseline,OK,success,True,True,1,1,0,0,0,0,0,0,0,0,0,645,0,0,135,308,,[3.0]
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-03_template_1777562825383,838b21d6-36f7-4cf4-82fa-b3f29084c880,enhanced,FAILED,max_iters,False,False,1,1,0,0,0,0,0,0,2,2,0,302,138,138,0,0,unknown,"[3.0, 3.0]"
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-03_llm_1777562826005,bcd76169-0f13-41a0-91ea-266cccba4a11,enhanced,FAILED,max_iters,False,False,1,1,0,0,0,0,0,0,2,2,2,11381,114,11225,0,0,,"[3.0, 3.0]"
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-04_baseline_1777562837714,1d60bcf2-1c8b-411c-b38f-1fa4d29957d2,baseline,OK,success,True,True,1,1,0,0,0,0,0,0,0,0,0,739,0,0,136,406,,[3.0]
