project,mode,final_status,compile_ok,test_ok,unsafe_before,unsafe_after,raw_ptr_before,raw_ptr_after,unsafe_api_before,unsafe_api_after,manual_mem_before,manual_mem_after
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-01_baseline_1777562776401,baseline,OK,True,True,1,1,0,0,0,0,0,0
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-01_template_1777562778472,enhanced,OK,True,True,1,0,0,0,0,0,0,0
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-01_llm_1777562780650,enhanced,OK,True,True,1,0,0,0,0,0,0,0
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-02_baseline_1777562789242,baseline,OK,True,True,1,1,0,0,0,0,0,0
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-02_template_1777562790213,enhanced,OK,True,True,1,0,0,0,0,0,0,0
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-02_llm_1777562792426,enhanced,OK,True,True,1,0,0,0,0,0,0,0
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-03_baseline_1777562799060,baseline,OK,True,True,1,1,0,0,0,0,0,0
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-03_template_1777562799958,enhanced,FAILED,False,False,1,1,0,0,0,0,0,0
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-03_llm_1777562800521,enhanced,OK,True,True,1,0,0,0,0,0,0,0
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-01_baseline_1777562815054,baseline,OK,True,True,2,2,0,0,0,0,0,0
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-01_template_1777562816072,enhanced,FAILED,False,False,2,2,0,0,0,0,0,0
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-01_llm_1777562816757,enhanced,OK,True,True,2,1,0,0,0,0,0,0
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-03_baseline_1777562824426,baseline,OK,True,True,1,1,0,0,0,0,0,0
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-03_template_1777562825383,enhanced,FAILED,False,False,1,1,0,0,0,0,0,0
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-03_llm_1777562826005,enhanced,FAILED,False,False,1,1,0,0,0,0,0,0
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-04_baseline_1777562837714,baseline,OK,True,True,1,1,0,0,0,0,0,0
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-04_template_1777562838769,enhanced,FAILED,False,False,1,1,0,0,0,0,0,0
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-04_llm_1777562839387,enhanced,OK,True,True,1,0,0,0,0,0,0,0
