project,mode,final_status,final_stop_reason,iteration_count,patch_rounds,rollback_count,total_ms,retrieve_ms,generate_ms,build_ms,test_ms,primary_error_kind
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-01_baseline_1777562776401,baseline,OK,success,0,0,0,1766,0,0,323,1134,
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-01_template_1777562778472,enhanced,OK,success,1,1,0,1838,90,79,302,1055,
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-01_llm_1777562780650,enhanced,OK,success,1,1,0,8222,71,5076,319,975,
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-02_baseline_1777562789242,baseline,OK,success,0,0,0,632,0,0,131,314,
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-02_template_1777562790213,enhanced,OK,success,1,1,0,1910,71,59,356,1104,
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-02_llm_1777562792426,enhanced,OK,success,1,1,0,6331,71,4689,274,993,
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-03_baseline_1777562799060,baseline,OK,success,0,0,0,624,0,0,140,302,
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-03_template_1777562799958,enhanced,FAILED,max_iters,2,2,0,294,131,142,0,0,unknown
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-03_llm_1777562800521,enhanced,OK,success,2,2,1,14223,131,10981,357,959,
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-01_baseline_1777562815054,baseline,OK,success,0,0,0,693,0,0,144,317,
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-01_template_1777562816072,enhanced,FAILED,max_iters,2,2,0,320,141,144,0,0,unknown
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-01_llm_1777562816757,enhanced,OK,success,1,1,0,7386,76,3821,393,1110,
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-03_baseline_1777562824426,baseline,OK,success,0,0,0,645,0,0,135,308,
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-03_template_1777562825383,enhanced,FAILED,max_iters,2,2,0,302,138,138,0,0,unknown
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-03_llm_1777562826005,enhanced,FAILED,max_iters,2,2,2,11381,114,11225,0,0,
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-04_baseline_1777562837714,baseline,OK,success,0,0,0,739,0,0,136,406,
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-04_template_1777562838769,enhanced,FAILED,max_iters,2,2,0,282,136,120,0,0,unknown
workspace://C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-04_llm_1777562839387,enhanced,OK,success,1,1,0,7148,68,3068,603,1210,
